category,impact,description,priority
waste_management,medium,Sweeping not done problem in H.M.T ward,0.51
waste_management,medium,Complaint regarding Garbage dump at Vignana Nagar,0.49
waste_management,medium,Complaint regarding Footpath at H.M.T,0.46
parks_recreation,medium,Complaint regarding Issues Related to Parks/Medians/Circles/Island. at Vidyaranyapura,0.53
waste_management,medium,Ekhata Other corrections issue in Gottigere area,0.44
waste_management,medium,Garbage dump problem in Kavalbyrasandra ward,0.53
electricity,medium,Complaint regarding Street Light Not Working at Jakkur,0.68
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Jogupalya,0.40
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Hampi Nagar,0.47
waste_management,medium,Complaint regarding Issues related Snakes/Birds/Monkeys at Kumaraswamy Layout,0.45
electricity,medium,Street Light Not Working reported in Doddabommasandra,0.69
waste_management,medium,Removal of dead/fallen trees issue in Jeevanbhima Nagar area,0.49
waste_management,medium,Garbage dump reported in Vasanthapura,0.52
waste_management,medium,Debris Removal / Construction Material problem in Hongasandra ward,0.47
electricity,medium,Complaint regarding Street Light Not Working at Yelachenahalli,0.65
electricity,medium,Street Lights Switched On During Day Time issue in Bapuji Nagar area,0.60
waste_management,low,Complaint regarding Garbage vehicle not arrived at Jalahalli,0.36
electricity,medium,Complaint regarding Street Lights Switched On During Day Time at Bapuji Nagar,0.57
waste_management,medium,Issue with Garbage dump in Hagadooru,0.47
waste_management,medium,Garbage vehicle not arrived reported in Mahalakshmipuram,0.42
waste_management,medium,Road cutting issue in Konena Agrahara area,0.46
waste_management,low,Garbage vehicle not arrived issue in Mathikere area,0.39
waste_management,medium,Garbage dump reported in Thanisandra,0.48
electricity,high,Issue with Street Light Not Working in Horamavu,0.78
waste_management,low,Issue with obstructions Branches / Trees. in Banaswadi,0.36
parks_recreation,medium,Issue with Gym/Children Play equipment in the parks in Vijay Nagar,0.41
waste_management,medium,Garbage dump reported in Jakkasandra,0.53
waste_management,low,Garbage vehicle not arrived reported in Chokkasandra,0.39
waste_management,medium,Issue with footpath encroachment in Jayamahal,0.49
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Basavanapura,0.42
waste_management,medium,obstructions Branches / Trees. problem in Ganeshmandira Ward ward,0.51
waste_management,medium,Garbage dump reported in Anjanapur,0.48
waste_management,medium,Issue with Removal of dead/fallen trees in Jayanagar East,0.47
electricity,medium,Street Light Not Working issue in Bellandur area,0.70
waste_management,medium,Removal of dead/fallen trees problem in Byatarayanapura ward,0.52
waste_management,medium,Garbage vehicle not arrived issue in Gurappanapalya area,0.40
waste_management,medium,Garbage dump problem in Anjanapur ward,0.55
electricity,high,Issue with Street Light Not Working in BTM Layout,0.72
waste_management,medium,footpath encroachment problem in Benniganahalli ward,0.54
waste_management,medium,Issue with Garbage dump in Jogupalya,0.51
waste_management,medium,Others reported in Sudduguntepalya,0.55
electricity,high,Street Light Not Working problem in Kadugondanahalli ward,0.73
waste_management,low,Complaint regarding Complaint against SW collector/ SWM official for violation of SWM Rules at Hosakerehalli,0.36
waste_management,medium,Issue with Garbage dump in Jayangar,0.53
electricity,medium,Issue with Street Light Not Working in Bagalagunte,0.68
waste_management,medium,Complaint regarding Garbage dump at Chikpete,0.52
electricity,medium,Street Light Not Working issue in HBR Layout area,0.69
electricity,medium,Street Light Not Working reported in HSR Layout,0.66
waste_management,medium,Garbage thrown in storm water drain issue in Domlur area,0.45
electricity,medium,Park Lights Not Working issue in Marathalli area,0.69
waste_management,medium,water stagnation issue in Doddanekkundi area,0.53
waste_management,medium,Issue with Garbage dump in Rajarajeshwari Nagar,0.53
waste_management,medium,Garbage dump reported in Kuvempu Nagar,0.50
electricity,medium,Issue with Street Light Not Working in Singasandra,0.68
waste_management,medium,Garbage dump reported in Visvesvarapuram,0.49
electricity,medium,Street Light Not Working reported in Horamavu,0.69
waste_management,medium,Issue with Garbage dump in Hombegowda Nagar,0.50
electricity,medium,Requirement For New Street Lights problem in Bagalagunte ward,0.59
electricity,medium,Requirement For New Street Lights reported in Rajarajeshwari Nagar,0.56
waste_management,medium,Issue with Road Infrastructure in Doddanekkundi,0.50
waste_management,medium,Garbage dump issue in H.M.T area,0.49
electricity,high,Issue with Street Light Not Working in Shiva Nagar,0.80
waste_management,medium,Garbage dump problem in Hagadooru ward,0.51
electricity,high,Issue with Street Light Not Working in Jakkur,0.74
electricity,high,Complaint regarding Street Light Not Working at Govindraja Nagara,0.75
waste_management,medium,Garbage dump problem in Singasandra ward,0.50
electricity,medium,Street Light Not Working problem in Shanthi Nagar ward,0.66
electricity,medium,Complaint regarding Street Light Not Working at Vishwanathnagenahalli,0.69
waste_management,medium,Garbage dump issue in Hemmigepura area,0.53
electricity,high,Street Light Not Working reported in Chowdeshwari Ward,0.75
waste_management,medium,Debris Removal / Construction Material issue in Ramaswamy Palya area,0.47
electricity,high,Street Light Not Working issue in Puttenahalli area,0.80
electricity,high,Complaint regarding Street Light Not Working at Bommanahalli,0.72
waste_management,medium,Garbage dump problem in Hoodi ward,0.47
electricity,high,Street Light Not Working problem in Banaswadi ward,0.74
electricity,high,Street Light Not Working issue in Laggere area,0.74
waste_management,medium,Road Infrastructure issue in Doddanekkundi area,0.53
waste_management,medium,Others reported in Gurappanapalya,0.50
waste_management,medium,Road Infrastructure issue in Banaswadi area,0.49
electricity,medium,Street Light Not Working issue in J.P.Nagar area,0.68
waste_management,medium,Garbage dump reported in Banaswadi,0.50
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Kottigepalya,0.45
waste_management,medium,Road Infrastructure issue in Jeevanbhima Nagar area,0.50
electricity,high,Street Light Not Working reported in Subedarapalya,0.84
electricity,high,Street Light Not Working reported in Rajaji Nagar,0.77
electricity,high,Street Light Not Working reported in Bellandur,0.71
waste_management,medium,Road Infrastructure issue in Doddanekkundi area,0.51
waste_management,medium,Issue with Garbage dump in Kumaraswamy Layout,0.55
waste_management,medium,Issue with Others in Newthippasandra,0.49
electricity,medium,Complaint regarding Street Light Not Working at Thanisandra,0.69
waste_management,medium,Removal of dead/fallen trees reported in Jayachamarajendra Nagar,0.48
waste_management,medium,Garbage vehicle not arrived issue in Kacharakanahalli area,0.44
waste_management,medium,Sweeping not done problem in Rajarajeshwari Nagar ward,0.43
waste_management,medium,Road side drains issue in Moodalapalya area,0.54
waste_management,medium,Debris Removal / Construction Material reported in Sunkenahalli,0.45
waste_management,medium,Removal of dead/fallen trees issue in Jayanagar East area,0.48
waste_management,medium,Issue with Removal of dead/fallen trees in Yelachenahalli,0.41
waste_management,medium,Garbage dump problem in Ramamurthy Nagar ward,0.55
waste_management,medium,Complaint regarding Garbage nuisance while transporting at Ganga Nagar,0.45
waste_management,medium,Issue with Unhygienic premises in Hotel etc in Jeevanbhima Nagar,0.52
waste_management,medium,Issue with Garbage dump in Begur,0.54
electricity,medium,Street Light Not Working issue in Manorayanapalya area,0.70
waste_management,medium,Garbage dump problem in Jakkur ward,0.55
waste_management,medium,Issue with Garbage vehicle not arrived in Shakambari Nagar,0.43
waste_management,medium,Dead animal(s) issue in Jayamahal area,0.43
waste_management,medium,Garbage dump issue in Basavanapura area,0.54
parks_recreation,medium,Issue with Gym/Children Play equipment in the parks in Giri Nagar,0.43
waste_management,medium,obstructions Branches / Trees. issue in Kacharakanahalli area,0.40
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Anjanapur,0.43
electricity,high,Street Light Not Working reported in Vijanapura,0.75
waste_management,medium,Complaint regarding Ekhata missing in online at Vignana Nagar,0.55
waste_management,low,Garbage vehicle not arrived reported in Kavalbyrasandra,0.39
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Nagavara,0.41
waste_management,medium,Garbage dump issue in Giri Nagar area,0.46
waste_management,medium,Garbage dump problem in Byatarayanapura ward,0.50
waste_management,medium,Garbage dump problem in Byrasandra ward,0.50
waste_management,medium,Debris Removal / Construction Material reported in BTM Layout,0.45
waste_management,medium,Issue with Garbage dump in Bellandur,0.50
waste_management,medium,UnAuthorised Building Constructions problem in C.V.Raman Nagar ward,0.49
waste_management,medium,Potholes reported in Vasanthapura,0.42
waste_management,medium,Issue with Garbage dump in Begur,0.53
waste_management,medium,Issue with Maintenance of SWD in Newthippasandra,0.55
waste_management,medium,Garbage dump issue in Visvesvarapuram area,0.52
waste_management,medium,Issue with obstructions Branches / Trees. in Horamavu,0.53
waste_management,medium,Potholes issue in Sunkenahalli area,0.40
waste_management,medium,Garbage dumping in vacant sites issue in Thanisandra area,0.53
waste_management,medium,Complaint regarding Animal Rescue - Not well - Requires attention at Shettyhalli,0.44
waste_management,medium,Potholes issue in Begur area,0.52
waste_management,medium,Garbage vehicle not arrived reported in Shakambari Nagar,0.42
waste_management,medium,Garbage dump reported in Horamavu,0.52
waste_management,low,Issue with Road cutting in Hoodi,0.40
waste_management,low,Complaint regarding Garbage vehicle not arrived at Jogupalya,0.35
waste_management,medium,Complaint regarding Garbage dump at Vignana Nagar,0.47
waste_management,medium,Garbage dump reported in Hebbal,0.46
waste_management,medium,Issue with Garbage dump in Konena Agrahara,0.59
waste_management,medium,Garbage dump problem in Jagajeevanram Nagar ward,0.55
waste_management,low,Issue with Garbage vehicle not arrived in Kumaraswamy Layout,0.36
waste_management,medium,Garbage vehicle not arrived issue in Herohalli area,0.41
waste_management,medium,Garbage dump reported in Pattabhiram Nagar,0.49
waste_management,medium,Dead animal(s) reported in Rajarajeshwari Nagar,0.55
waste_management,medium,Garbage dump issue in Hagadooru area,0.53
waste_management,medium,Complaint regarding Animal Rescue - Not well - Requires attention at Mathikere,0.43
waste_management,low,obstructions Branches / Trees. issue in Shiva Nagar area,0.36
electricity,medium,Street Lights Switched On During Day Time reported in Bapuji Nagar,0.62
waste_management,medium,Garbage dump reported in Chikpete,0.48
waste_management,medium,Animal birth control/neutering of stray dogs issue in Domlur area,0.54
waste_management,medium,Garbage dump issue in Kaveripura area,0.50
waste_management,low,Complaint regarding Garbage vehicle not arrived at Manorayanapalya,0.37
waste_management,medium,Complaint regarding Garbage dump at Konanakunte,0.49
waste_management,medium,Garbage dump reported in HAL Airport,0.50
electricity,medium,Complaint regarding Street Light Not Working at Nagavara,0.68
waste_management,medium,water stagnation reported in Doddanekkundi,0.51
waste_management,medium,Complaint regarding Sewerage water left in SWD at Doddanekkundi,0.52
waste_management,medium,Stray dog related complaints problem in HSR Layout ward,0.41
waste_management,medium,Complaint regarding Garbage dump at Yelachenahalli,0.52
electricity,medium,Street Light Not Working problem in Kadugodi ward,0.68
waste_management,medium,Issue with Garbage vehicle not arrived in Varthur,0.41
waste_management,low,Violation of rules by Shop rent / Leaser problem in Ejipura ward,0.37
electricity,high,Street Light Not Working issue in Peenya Industrial Area area,0.70
waste_management,medium,Garbage dump issue in Horamavu area,0.45
waste_management,medium,Garbage dump problem in Singasandra ward,0.50
waste_management,medium,Air/Noise pollution issue in K.R.Puram area,0.47
waste_management,medium,Issue with Garbage dump in Hemmigepura,0.49
electricity,high,Street Light Not Working reported in Arakere,0.72
waste_management,medium,Garbage dump issue in Shivaji Nagar area,0.52
electricity,high,Street Light Not Working reported in Kottigepalya,0.73
waste_management,medium,obstructions Branches / Trees. problem in K.R.Puram ward,0.51
waste_management,medium,Issue with Garbage dump in Attiguppe,0.51
waste_management,medium,Complaint regarding Garbage dump at Uttarahalli,0.47
waste_management,low,Issue with Debris Removal / Construction Material in Jnanabharathi Ward,0.36
electricity,high,Street Light Not Working problem in Vijay Nagar ward,0.75
electricity,high,Street Light Not Working issue in Kottigepalya area,0.72
electricity,medium,Street Light Not Working reported in Jakkur,0.66
waste_management,medium,Garbage dump reported in Benniganahalli,0.54
waste_management,medium,Complaint regarding Garbage dump at Gottigere,0.65
electricity,medium,Street Light Not Working problem in Jakkur ward,0.68
electricity,high,Street Light Not Working problem in Basavanagudi ward,0.72
waste_management,medium,Complaint regarding Road side drains at Devasandra,0.49
electricity,medium,Issue with Street Light Not Working in Ullalu,0.67
waste_management,medium,Garbage dump issue in Uttarahalli area,0.49
waste_management,medium,Garbage dumping in vacant sites problem in Bellandur ward,0.52
waste_management,medium,Garbage dump issue in Doddanekkundi area,0.54
electricity,medium,Issue with Street Light Not Working in Jnanabharathi Ward,0.69
electricity,high,Street Light Not Working issue in Begur area,0.73
waste_management,medium,Road side drains issue in Bilekahalli area,0.44
waste_management,medium,Garbage dump problem in Bellandur ward,0.48
electricity,medium,Complaint regarding Street Light Not Working at K.R.Puram,0.65
waste_management,medium,Garbage dump reported in Kottigepalya,0.54
waste_management,medium,Garbage dump issue in Vishwanathnagenahalli area,0.55
waste_management,medium,Garbage dumping in vacant sites reported in Kumaraswamy Layout,0.48
waste_management,medium,Garbage dump problem in Hanumantha Nagar ward,0.46
waste_management,medium,Complaint regarding Potholes at Laggere,0.47
waste_management,medium,obstructions Branches / Trees. reported in Hanumantha Nagar,0.45
electricity,high,Issue with Street Light Not Working in Ullalu,0.70
waste_management,medium,Complaint regarding Others at Chokkasandra,0.51
waste_management,medium,footpath encroachment issue in Dr.Rajkumar Ward area,0.49
waste_management,medium,Garbage dump reported in Arakere,0.54
parks_recreation,medium,Gym/Children Play equipment in the parks problem in Vignana Nagar ward,0.52
electricity,high,Street Light Not Working reported in Nandini Layout,0.82
waste_management,medium,Garbage dump reported in Hosahalli,0.52
waste_management,low,Stray/Rabid dog bite issue in Hoysala Nagar area,0.40
waste_management,medium,Garbage dump reported in Sagayapuram,0.54
waste_management,medium,Issue with Water related issue in Jakkur,0.52
electricity,medium,Street Light Not Working reported in Rajarajeshwari Nagar,0.67
waste_management,medium,Ekhata Area Correction reported in Begur,0.44
waste_management,medium,Issue with Potholes in Varthur,0.50
electricity,high,Complaint regarding Street Light Not Working at Kottigepalya,0.72
waste_management,medium,Complaint regarding Garbage dump at Visvesvarapuram,0.46
traffic,medium,TEC issue in Vijay Nagar area,0.47
waste_management,medium,Garbage dump reported in Singasandra,0.54
waste_management,medium,Garbage dump problem in Dr.Rajkumar Ward ward,0.57
waste_management,medium,Complaint regarding UnAuthorised Building Constructions at Sanjay Nagar,0.55
waste_management,low,Issue with Removal of dead/fallen trees in Kamakshipalya,0.37
waste_management,low,Garbage vehicle not arrived problem in Horamavu ward,0.36
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.52
waste_management,medium,Garbage dump issue in Visvesvarapuram area,0.52
electricity,high,Issue with Street Light Not Working in Rajagopala Nagar,0.72
parks_recreation,medium,Gym/Children Play equipment in the parks issue in Kottigepalya area,0.50
waste_management,medium,Garbage vehicle not arrived problem in Hoodi ward,0.42
waste_management,medium,Garbage dump issue in Jeevanbhima Nagar area,0.51
waste_management,medium,Garbage dumping in vacant sites issue in Someshwara area,0.54
waste_management,medium,Garbage dump reported in Banaswadi,0.63
waste_management,medium,Complaint regarding Increase in mosquito density at Kammanahalli,0.46
electricity,high,Complaint regarding Street Light Not Working at Jayachamarajendra Nagar,0.71
waste_management,medium,Sweeping not done problem in Singasandra ward,0.41
waste_management,medium,Garbage dump reported in Attiguppe,0.54
electricity,medium,Issue with Street Light Not Working in Hemmigepura,0.65
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.47
waste_management,medium,Complaint regarding Garbage dump at Katriguppe,0.47
waste_management,medium,Issue with Garbage dump in Kempegowda Ward,0.48
waste_management,medium,Garbage dump problem in Domlur ward,0.46
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Jeevanbhima Nagar,0.52
waste_management,medium,Complaint regarding Garbage dump at Bagalagunte,0.54
waste_management,low,Garbage vehicle not arrived issue in Sarakki area,0.37
waste_management,medium,Garbage dump issue in Jaraganahalli area,0.55
waste_management,medium,Complaint regarding Garbage dump at Someshwara,0.51
waste_management,medium,Issue with Garbage dump in Kempegowda Ward,0.52
waste_management,medium,Garbage dump problem in Jnanabharathi Ward ward,0.51
waste_management,medium,Garbage dump issue in Thanisandra area,0.50
parks_recreation,medium,Issues Related to Parks/Medians/Circles/Island. issue in BTM Layout area,0.53
waste_management,medium,Garbage dump reported in Someshwara,0.63
waste_management,medium,Maintenance of SWD reported in Horamavu,0.46
waste_management,medium,Complaint regarding Road side drains at Arakere,0.46
waste_management,medium,Garbage vehicle not arrived reported in Hoodi,0.42
waste_management,medium,Garbage dump reported in Cottonpet,0.48
waste_management,medium,Garbage dump issue in Varthur area,0.48
waste_management,medium,Garbage dump problem in Gandhi Nagar ward,0.51
electricity,high,Complaint regarding Street Light Not Working at Jeevanbhima Nagar,0.73
waste_management,medium,Garbage dumping in vacant sites issue in Bellandur area,0.45
waste_management,medium,Garbage dump issue in Mahalakshmipuram area,0.50
waste_management,medium,Garbage dump problem in Benniganahalli ward,0.49
waste_management,medium,Garbage dump problem in Vignana Nagar ward,0.55
waste_management,low,Garbage vehicle not arrived issue in Kottigepalya area,0.36
waste_management,medium,Garbage dump issue in Shanthala Nagar area,0.51
waste_management,low,Sweeping not done issue in Hagadooru area,0.40
waste_management,low,Complaint regarding Animal Rescue - Not well - Requires attention at Nagavara,0.38
waste_management,medium,Complaint regarding Garbage dump at Rajagopala Nagar,0.49
waste_management,medium,Complaint regarding Garbage dump at Vasanthapura,0.49
electricity,high,Complaint regarding Street Light Not Working at Kadugodi,0.75
waste_management,medium,Issue with Garbage dump in Katriguppe,0.55
waste_management,low,Animal birth control/neutering of stray dogs reported in Varthur,0.39
waste_management,medium,Segregation of waste is not done problem in Doddanekkundi ward,0.44
waste_management,medium,Issue with Maintenance of SWD in Doddanekkundi,0.46
waste_management,medium,Issue with Garbage dumping in vacant sites in Varthur,0.54
electricity,medium,Street Light Not Working problem in K.R.Puram ward,0.66
waste_management,medium,Garbage dump reported in Jeevanbhima Nagar,0.51
waste_management,medium,Garbage dump problem in Visvesvarapuram ward,0.51
waste_management,medium,Garbage vehicle not arrived problem in Shettyhalli ward,0.43
waste_management,low,Complaint regarding Sweeping not done at Singasandra,0.37
waste_management,medium,Dead animal(s) reported in Visvesvarapuram,0.51
waste_management,low,Complaint regarding Garbage vehicle not arrived at Hoodi,0.36
waste_management,medium,Complaint regarding Garbage dump at Peenya Industrial Area,0.48
waste_management,medium,Complaint regarding Dead animal(s) at HSR Layout,0.49
waste_management,medium,Garbage vehicle not arrived problem in Kammanahalli ward,0.41
waste_management,low,Garbage transfer not as per norms & area not kept clean problem in Shankaramata ward,0.36
waste_management,medium,Garbage dump problem in Ramamurthy Nagar ward,0.54
waste_management,medium,Issue with Garbage dump in Konena Agrahara,0.58
waste_management,medium,Garbage dump issue in Dr.Rajkumar Ward area,0.45
waste_management,low,Garbage vehicle not arrived issue in Herohalli area,0.35
waste_management,low,Garbage vehicle not arrived problem in Banaswadi ward,0.39
waste_management,medium,Removal of dead/fallen trees problem in Hosakerehalli ward,0.49
waste_management,medium,Road Infrastructure reported in Hemmigepura,0.53
waste_management,low,Removal of dead/fallen trees problem in Subedarapalya ward,0.37
waste_management,low,Garbage vehicle not arrived reported in Someshwara,0.36
waste_management,medium,Issue with Removal of dead/fallen trees in Sunkenahalli,0.51
waste_management,low,Garbage transfer not as per norms & area not kept clean reported in Bellandur,0.38
waste_management,medium,Complaint regarding Footpath at Jayanagar East,0.51
waste_management,medium,Others reported in Hombegowda Nagar,0.49
electricity,medium,Issue with Street Light Not Working in Shettyhalli,0.65
electricity,high,Street Light Not Working issue in Vidyaranyapura area,0.73
electricity,medium,Street Light Not Working problem in Basavanagudi ward,0.68
waste_management,medium,Potholes issue in HSR Layout area,0.52
waste_management,medium,Garbage dump issue in K.R.Puram area,0.48
waste_management,medium,Complaint regarding Garbage dump at Maruthi Seva Nagar,0.45
waste_management,medium,Debris Removal / Construction Material reported in Basaveshwara Nagar,0.49
electricity,medium,Issue with Street Light Not Working in Rajarajeshwari Nagar,0.68
electricity,medium,Street Light Not Working issue in Byatarayanapura area,0.69
waste_management,low,Issue with Animal Rescue - Not well - Requires attention in Horamavu,0.37
electricity,high,Street Light Not Working issue in Kuvempu Nagar area,0.74
electricity,medium,Complaint regarding Street Light Not Working at Bellandur,0.66
waste_management,medium,Garbage dump problem in Vignana Nagar ward,0.50
electricity,medium,Street Light Not Working issue in Ganeshmandira Ward area,0.67
electricity,high,Issue with Street Light Not Working in Ullalu,0.74
electricity,medium,Issue with Street Light Not Working in BTM Layout,0.66
electricity,high,Street Light Not Working issue in Vasanthapura area,0.74
waste_management,medium,Garbage dump problem in Gottigere ward,0.61
electricity,medium,Street Light Not Working issue in Jnanabharathi Ward area,0.66
waste_management,low,Issue with Fatally injured - Needs immediate attention in Hoodi,0.39
electricity,high,Street Light Not Working problem in Bagalagunte ward,0.71
electricity,high,Street Light Not Working reported in Sri Nagar,0.72
electricity,high,Street Light Not Working problem in Yeshwanthpur ward,0.73
electricity,high,Street Light Not Working reported in Someshwara,0.70
electricity,high,Issue with Street Light Not Working in Begur,0.71
electricity,medium,Street Light Not Working issue in Ganga Nagar area,0.65
waste_management,medium,Potholes problem in Govindraja Nagara ward,0.45
electricity,high,Issue with Street Light Not Working in Kamakshipalya,0.72
waste_management,medium,Complaint regarding Road Infrastructure at Dr.Rajkumar Ward,0.42
electricity,medium,Street Light Not Working issue in Agaram area,0.70
electricity,high,Street Light Not Working issue in Govindraja Nagara area,0.71
waste_management,medium,Stray dog related complaints problem in Kammanahalli ward,0.54
electricity,medium,Street Light Not Working problem in Giri Nagar ward,0.70
electricity,high,Street Light Not Working problem in Chikpete ward,0.74
waste_management,medium,Complaint regarding water stagnation at Kodigehalli,0.50
waste_management,medium,Garbage dump reported in Basavanapura,0.53
waste_management,medium,Garbage dump reported in Someshwara,0.51
waste_management,medium,Road Infrastructure reported in Shanthala Nagar,0.51
waste_management,medium,water stagnation issue in Bellandur area,0.53
waste_management,medium,Dead animal(s) problem in Newthippasandra ward,0.46
waste_management,medium,Removal of dead/fallen trees issue in Jayangar area,0.54
electricity,high,Street Light Not Working problem in Horamavu ward,0.72
waste_management,low,Fatally injured - Needs immediate attention problem in Rajagopala Nagar ward,0.35
electricity,high,Issue with Street Light Not Working in Ullalu,0.71
waste_management,medium,Garbage dump problem in Chokkasandra ward,0.51
electricity,medium,Street Light Not Working problem in Konena Agrahara ward,0.70
electricity,medium,Street Light Not Working problem in Shettyhalli ward,0.65
electricity,medium,Street Light Not Working problem in Kumaraswamy Layout ward,0.67
waste_management,low,Issue with Removal of dead/fallen trees in Peenya Industrial Area,0.38
waste_management,low,Issue with obstructions Branches / Trees. in Sampangiram Nagar,0.37
waste_management,medium,Garbage dump reported in Vidyaranyapura,0.52
waste_management,medium,Complaint regarding Road side drains at Kodigehalli,0.54
waste_management,medium,Garbage dump problem in Domlur ward,0.50
waste_management,medium,Issue with Garbage dumping in vacant sites in Uttarahalli,0.51
waste_management,medium,Complaint regarding Garbage dump at Byatarayanapura,0.46
electricity,medium,Issue with Open Electrical Junction Box in Subedarapalya,0.55
electricity,medium,Street Light Not Working problem in Vishwanathnagenahalli ward,0.66
waste_management,medium,Complaint regarding Garbage dump at Sampangiram Nagar,0.49
waste_management,low,Complaint regarding Potholes at Kumaraswamy Layout,0.39
waste_management,medium,Garbage dump problem in Nagavara ward,0.48
waste_management,medium,Complaint regarding Garbage dump at Basavanagudi,0.48
waste_management,medium,footpath encroachment reported in Dharmarayaswamy Temple Ward,0.48
waste_management,medium,Garbage dump problem in Yelachenahalli ward,0.53
waste_management,medium,Garbage dump reported in Ramamurthy Nagar,0.46
electricity,medium,Issue with Requirement For New Street Lights in Chokkasandra,0.62
electricity,medium,Street Light Not Working issue in Banaswadi area,0.69
waste_management,medium,Issue with Khata Services (Registration in  Bifurcation and Amalgamation),0.45
waste_management,medium,Complaint regarding Other Khata / ekhata issues at Moodalapalya,0.44
waste_management,medium,Complaint regarding Garbage dump at HAL Airport,0.51
waste_management,medium,Garbage dump reported in Benniganahalli,0.50
electricity,medium,Issue with Street Light Not Working in C.V.Raman Nagar,0.67
waste_management,medium,Issue with Garbage vehicle not arrived in Hoodi,0.41
waste_management,medium,Issue with Garbage dump in Herohalli,0.50
waste_management,low,Dengue positive reported in Hagadooru,0.37
waste_management,medium,Complaint regarding Garbage dump at Vignana Nagar,0.52
waste_management,medium,Garbage dump reported in Kadugondanahalli,0.47
waste_management,medium,Complaint regarding Ekhata Area Correction at Begur,0.42
waste_management,medium,Issue with Garbage dump in Vignana Nagar,0.49
electricity,medium,Street Light Not Working issue in Ganga Nagar area,0.67
waste_management,medium,Garbage dump problem in Dr.Rajkumar Ward ward,0.49
waste_management,medium,Complaint regarding Garbage dump at Kavalbyrasandra,0.47
waste_management,medium,Complaint regarding Garbage dump at Doddanekkundi,0.46
waste_management,medium,Issue with Garbage dump in Kushal Nagar,0.46
waste_management,low,ekhata approval pending with ARO issue in Kempegowda Ward area,0.37
waste_management,low,ekhata approval pending with ARO reported in Gottigere,0.36
waste_management,medium,Ekhata missing in online problem in Ramamurthy Nagar ward,0.54
waste_management,medium,Issue with Flex and banners in Chikpete,0.52
electricity,medium,Issue with Street Light Not Working in Karisandra,0.67
waste_management,medium,Complaint regarding Garbage dump at Jakkur,0.57
waste_management,medium,Use of banned single use plastic problem in Kaveripura ward,0.51
waste_management,medium,Complaint regarding Potholes at HAL Airport,0.52
electricity,high,Street Light Not Working problem in Kodigehalli ward,0.71
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Jakkasandra,0.53
waste_management,medium,Issue with UnAuthorised Constructions in Chokkasandra,0.53
electricity,medium,Street Light Not Working issue in Kottigepalya area,0.68
electricity,high,Issue with Street Light Not Working in Radhakrishna Temple,0.75
waste_management,medium,Garbage dump issue in Vignana Nagar area,0.49
waste_management,low,Fatally injured - Needs immediate attention problem in Hegganahalli ward,0.39
waste_management,medium,Footpath problem in Shakambari Nagar ward,0.55
waste_management,medium,obstructions Branches / Trees. issue in Jnanabharathi Ward area,0.49
electricity,medium,Street Light Not Working reported in Jnanabharathi Ward,0.68
waste_management,low,Garbage vehicle not arrived reported in Kadugondanahalli,0.36
waste_management,medium,Complaint regarding Flex and banners at BTM Layout,0.44
waste_management,medium,Complaint regarding Garbage dump at Jayangar,0.50
electricity,high,Street Light Not Working issue in Hampi Nagar area,0.72
waste_management,medium,Garbage dump problem in Laggere ward,0.58
waste_management,medium,Sweeping not done problem in Kottigepalya ward,0.43
electricity,medium,Street Light Not Working reported in Dodda Bidarkallu,0.70
waste_management,low,obstructions Branches / Trees. issue in Kavalbyrasandra area,0.36
waste_management,medium,Complaint regarding Garbage dump at Doddanekkundi,0.52
waste_management,medium,Garbage dump reported in Giri Nagar,0.49
waste_management,medium,Road Infrastructure issue in Jayamahal area,0.53
parks_recreation,low,Gym/Children Play equipment in the parks reported in Chokkasandra,0.39
waste_management,medium,Issue with Footpath in Jogupalya,0.52
electricity,high,Street Light Not Working problem in Mangammanapalya ward,0.71
waste_management,medium,Issue with Garbage dump in Horamavu,0.53
parks_recreation,medium,Issues Related to Parks/Medians/Circles/Island. problem in Herohalli ward,0.51
waste_management,medium,Garbage dump issue in Nagarabhavi area,0.46
electricity,medium,Issue with Street Light Not Working in Singasandra,0.69
electricity,medium,Complaint regarding Street Light Not Working at Banaswadi,0.68
electricity,high,Street Light Not Working issue in Bommanahalli area,0.70
waste_management,medium,Complaint regarding Garbage dump at Kodigehalli,0.52
waste_management,medium,Garbage dump issue in Doddanekkundi area,0.51
waste_management,medium,Garbage dump issue in Shiva Nagar area,0.50
waste_management,medium,Garbage dump issue in Varthur area,0.52
electricity,medium,Street Light Not Working problem in Chamrajpet ward,0.69
waste_management,medium,Garbage dump reported in Rajarajeshwari Nagar,0.64
waste_management,medium,footpath encroachment reported in Dayananda Nagar,0.49
waste_management,medium,Garbage vehicle not arrived issue in Bapuji Nagar area,0.42
waste_management,medium,Issue with Garbage dump in Pulikeshi Nagar,0.46
electricity,medium,Issue with Street Light Not Working in Pattabhiram Nagar,0.67
